season,position,model,n,mae,rmse,spearman,rank_mae,top_n_overlap
2019,RB,baseline,55,3.3243386890886897,4.137930757936629,0.6641404573520273,9.636363636363637,0.7083333333333334
2019,RB,boost,55,2.6819876119624193,3.657540679707694,0.7392881128456755,8.763636363636364,0.7916666666666666
2019,RB,prototype,55,,,0.6807627910127072,9.709090909090909,0.7916666666666666
2019,RB,ridge,55,2.9639450827505835,4.298069852551515,0.688989531689598,9.454545454545455,0.75
2019,TE,baseline,49,2.4143184734766368,3.255674635442883,0.6435004483704718,9.020408163265307,0.5833333333333334
2019,TE,boost,49,2.408012362118509,3.275607481857856,0.5745554735408734,9.387755102040817,0.5
2019,TE,prototype,49,,,0.5598101994219398,10.53061224489796,0.4166666666666667
2019,TE,ridge,49,2.3218173446782586,2.9854699389134227,0.6396081534773456,9.061224489795919,0.4166666666666667
2019,WR,baseline,85,3.366271390700803,4.370265958805294,0.6410627457444902,15.6,0.75
2019,WR,boost,85,3.1778333227377167,4.036909654758126,0.6448157951242728,15.435294117647059,0.75
2019,WR,prototype,85,,,0.5084725911115751,18.49411764705882,0.6666666666666666
2019,WR,ridge,85,3.556733767918359,4.405092078769308,0.5565718779629583,17.741176470588236,0.6666666666666666
2020,QB,baseline,37,4.4460062940062945,5.733220682737771,0.5808440018966334,7.351351351351352,0.6666666666666666
2020,QB,boost,37,4.536523287342126,5.477809014996246,0.6111901375059269,7.1891891891891895,0.5833333333333334
2020,QB,prototype,37,,,0.7280701754385964,6.216216216216216,0.75
2020,QB,ridge,37,3.9795759567769458,4.823187639001744,0.7190611664295874,6.27027027027027,0.75
2020,RB,baseline,62,3.678805882737335,4.626098607838024,0.5529364366840467,13.580645161290322,0.5416666666666666
2020,RB,boost,62,3.1643291237576703,4.157576919466426,0.643364391840846,11.709677419354838,0.6666666666666666
2020,RB,prototype,62,,,0.6405862429840073,12.0,0.625
2020,RB,ridge,62,3.1403061292323864,3.9583803660520154,0.6143463316234705,12.193548387096774,0.5833333333333334
2020,TE,baseline,48,2.4621196454008953,3.2806004155064294,0.5131254131102433,10.166666666666666,0.5
2020,TE,boost,48,2.26050418477901,3.0242524266442437,0.5880500845833293,9.416666666666666,0.5833333333333334
2020,TE,prototype,48,,,0.514699917075982,10.625,0.5833333333333334
2020,TE,ridge,48,2.3415477504883166,3.0080194131629363,0.5434753343808628,9.791666666666666,0.5833333333333334
2020,WR,baseline,94,2.6101690472647916,3.5410369193017703,0.7246319222998436,14.702127659574469,0.8333333333333334
2020,WR,boost,94,2.6796724466564377,3.4023022461450463,0.6852074694855288,16.93617021276596,0.7777777777777778
2020,WR,prototype,94,,,0.660394882354598,17.595744680851062,0.7777777777777778
2020,WR,ridge,94,2.4724456038720786,3.196837426768169,0.7050560940774528,16.46808510638298,0.7777777777777778
2021,QB,baseline,37,4.675672067245597,6.661784669278433,0.5301090564248458,7.783783783783784,0.5833333333333334
2021,QB,boost,37,4.0008598585491955,4.985597322628156,0.5585585585585585,8.0,0.6666666666666666
2021,QB,prototype,37,,,0.591275486012328,7.783783783783784,0.5833333333333334
