split,scope,scope_value,model,predicted_range,n,mean_prediction,mean_actual,bias
confirmation,pooled,ALL,RIDGE_MINIMAL,8-11,170,8.350890076559443,9.047058823529412,-0.6961687469699687
confirmation,pooled,ALL,POISSON_MINIMAL,<=8,1549,4.363984030757928,4.203357004519044,0.16062702623888367
confirmation,pooled,ALL,POISSON_MINIMAL,8-11,224,8.674411090740508,9.013392857142858,-0.33898176640234834
confirmation,pooled,ALL,RIDGE_FULL,<=8,1590,4.279395426014588,4.263522012578616,0.01587341343597175
confirmation,pooled,ALL,RIDGE_FULL,8-11,179,9.030550059681087,9.46368715083799,-0.4331370911569024
confirmation,pooled,ALL,RIDGE_FULL,11-14,1,11.109427294006565,17.0,-5.890572705993435
confirmation,pooled,ALL,RIDGE_FULL,>14,3,16.44412622876742,13.333333333333334,3.110792895434089
confirmation,pooled,ALL,MULTINOMIAL_HURDLE,<=8,1538,4.313124220601081,4.1697009102730815,0.14342331032799893
confirmation,pooled,ALL,MULTINOMIAL_HURDLE,8-11,235,8.716644808986702,9.008510638297873,-0.2918658293111705
confirmation,position,QB,PREV_RATE,<=8,176,3.664772727272727,3.1875,0.4772727272727273
confirmation,position,QB,PREV_RATE,8-11,26,10.0,5.3076923076923075,4.6923076923076925
confirmation,position,QB,PREV_RATE,11-14,30,12.933333333333334,5.766666666666667,7.166666666666667
confirmation,position,QB,PREV_RATE,>14,26,16.192307692307693,6.538461538461538,9.653846153846153
confirmation,position,QB,RIDGE_MINIMAL,<=8,247,3.928410296036162,3.9919028340080973,-0.06349253797193533
confirmation,position,QB,RIDGE_MINIMAL,8-11,11,8.381024739669801,5.090909090909091,3.2901156487607093
confirmation,position,QB,POISSON_MINIMAL,<=8,242,3.739319955997754,3.830578512396694,-0.09125855639894058
confirmation,position,QB,POISSON_MINIMAL,8-11,16,8.873038907397362,7.1875,1.6855389073973606
confirmation,position,QB,RIDGE_FULL,<=8,248,3.9188378394065118,4.008064516129032,-0.08922667672252042
confirmation,position,QB,RIDGE_FULL,8-11,10,8.5394237232189,4.8,3.7394237232188985
confirmation,position,QB,MULTINOMIAL_HURDLE,<=8,240,3.593922236637899,3.783333333333333,-0.18941109669543438
confirmation,position,QB,MULTINOMIAL_HURDLE,8-11,18,9.388922665966067,7.444444444444445,1.9444782215216234
confirmation,position,RB,PREV_RATE,<=8,223,3.6995515695067263,2.210762331838565,1.4887892376681615
confirmation,position,RB,PREV_RATE,8-11,49,10.10204081632653,4.918367346938775,5.183673469387755
confirmation,position,RB,PREV_RATE,11-14,77,13.025974025974026,7.740259740259741,5.285714285714286
confirmation,position,RB,PREV_RATE,>14,103,16.116504854368934,7.543689320388349,8.572815533980583
confirmation,position,RB,RIDGE_MINIMAL,<=8,416,4.63497374480066,4.278846153846154,0.35612759095450663
confirmation,position,RB,RIDGE_MINIMAL,8-11,36,8.30432752243325,9.083333333333334,-0.7790058109000843
confirmation,position,RB,POISSON_MINIMAL,<=8,405,4.582567719938279,4.11358024691358,0.46898747302469884
confirmation,position,RB,POISSON_MINIMAL,8-11,47,8.634525125017966,9.382978723404255,-0.7484535983862896
confirmation,position,RB,RIDGE_FULL,<=8,406,4.326430761803604,4.088669950738916,0.2377608110646883
confirmation,position,RB,RIDGE_FULL,8-11,45,8.911152403410323,9.555555555555555,-0.6444031521452331
confirmation,position,RB,RIDGE_FULL,11-14,1,11.109427294006565,17.0,-5.890572705993435
confirmation,position,RB,MULTINOMIAL_HURDLE,<=8,409,4.639276517752241,4.207823960880195,0.43145255687204553
confirmation,position,RB,MULTINOMIAL_HURDLE,8-11,43,8.519355625300717,8.976744186046512,-0.4573885607457968
confirmation,position,WR,PREV_RATE,<=8,320,3.909375,2.65,1.259375
confirmation,position,WR,PREV_RATE,8-11,92,10.032608695652174,5.728260869565218,4.304347826086956
confirmation,position,WR,PREV_RATE,11-14,107,12.981308411214954,5.5046728971962615,7.4766355140186915
confirmation,position,WR,PREV_RATE,>14,164,16.24390243902439,8.310975609756097,7.932926829268292
confirmation,position,WR,RIDGE_MINIMAL,<=8,613,4.5703630549895315,4.363784665579119,0.20657838941041307
confirmation,position,WR,RIDGE_MINIMAL,8-11,70,8.342074696703953,9.314285714285715,-0.9722110175817592
confirmation,position,WR,POISSON_MINIMAL,<=8,585,4.421001488834397,4.177777777777778,0.24322371105662002
confirmation,position,WR,POISSON_MINIMAL,8-11,98,8.616355868129716,9.010204081632653,-0.39384821350293703
confirmation,position,WR,RIDGE_FULL,<=8,598,4.230017315116237,4.157190635451505,0.07282667966473187
confirmation,position,WR,RIDGE_FULL,8-11,85,9.197950614189391,9.894117647058824,-0.6961670328694326
confirmation,position,WR,MULTINOMIAL_HURDLE,<=8,577,4.344551274123255,4.0606585788561524,0.2838926952671017
confirmation,position,WR,MULTINOMIAL_HURDLE,8-11,106,8.606199101906093,9.283018867924529,-0.6768197660184361
confirmation,position,TE,PREV_RATE,<=8,192,4.25,2.8854166666666665,1.3645833333333333
confirmation,position,TE,PREV_RATE,8-11,56,10.107142857142858,6.375,3.732142857142857
confirmation,position,TE,PREV_RATE,11-14,61,12.98360655737705,8.049180327868852,4.934426229508197
confirmation,position,TE,PREV_RATE,>14,71,15.901408450704226,9.183098591549296,6.71830985915493
confirmation,position,TE,RIDGE_MINIMAL,<=8,327,4.609159993697875,4.743119266055046,-0.133959272357171
confirmation,position,TE,RIDGE_MINIMAL,8-11,53,8.387906062299317,9.49056603773585,-1.102659975436534
confirmation,position,TE,POISSON_MINIMAL,<=8,317,4.4563723556764945,4.649842271293376,-0.19346991561688093
confirmation,position,TE,POISSON_MINIMAL,8-11,63,8.744030251666027,9.206349206349206,-0.46231895468318046
confirmation,position,TE,RIDGE_FULL,<=8,338,4.574809761711855,4.849112426035503,-0.2743026643236481
confirmation,position,TE,RIDGE_FULL,8-11,39,8.929399053619559,9.615384615384615,-0.6859855617650581
confirmation,position,TE,RIDGE_FULL,>14,3,16.44412622876742,13.333333333333334,3.110792895434089
confirmation,position,TE,MULTINOMIAL_HURDLE,<=8,312,4.380684402440968,4.618589743589744,-0.23790534114877482
confirmation,position,TE,MULTINOMIAL_HURDLE,8-11,68,8.835610668154548,9.014705882352942,-0.1790952141983939
