split,scope,scope_value,method,n,mae,rmse,bias,spearman,rank_mae,top_n_overlap,catastrophic_over_rate,catastrophic_under_rate
development,season,2020,PAIRED_RESIDUAL_MEAN,437,40.3035165946,57.4720430379,1.24586950343,0.379615333066,31.8581235698,0.479166666667,0.0411899313501,0.070938215103
development,season,2020,WR033_X_PREV_RATE,437,46.4358742666,69.008061706,22.1000911773,0.388259106794,31.1029748284,0.534722222222,0.100686498856,0.0343249427918
development,season,2020,PRIOR_TOTAL_SCHEDULE_ADJUSTED,437,48.9069107551,78.5407872525,26.9813272311,0.379992161696,30.585812357,0.545138888889,0.121281464531,0.025171624714
development,season,2020,POSITION_MEAN_TOTAL,437,48.9579914893,65.4896050213,1.00630016951,0.0944925098181,39.0343249428,0.159722222222,0,0.114416475973
development,season,2021,INDEPENDENT_PRODUCT,435,32.8392679573,50.634859721,1.17706616176,0.337940920718,31.3885057471,0.451388888889,0.032183908046,0.0505747126437
development,season,2021,PAIRED_RESIDUAL_MEAN,435,35.1452603182,50.9458537251,5.79586500587,0.33533153298,31.3793103448,0.458333333333,0.032183908046,0.048275862069
development,season,2021,WR033_X_PREV_RATE,435,44.1377944879,66.9211507116,27.6521411575,0.338064748019,31.1954022989,0.496527777778,0.105747126437,0.016091954023
development,season,2021,PRIOR_TOTAL_SCHEDULE_ADJUSTED,435,46.9205833333,76.4117831138,33.4927557471,0.343156409706,30.767816092,0.520833333333,0.135632183908,0.0137931034483
development,season,2021,POSITION_MEAN_TOTAL,435,44.8740333019,60.2863185767,7.98283519868,0.0404644757928,33.3747126437,0.243055555556,0,0.0781609195402
development,value_tier,Q4,INDEPENDENT_PRODUCT,439,74.2508216927,90.666354627,-5.10794117612,0.223608108101,9.19817767654,0.769965277778,0.118451025057,0.157175398633
development,value_tier,Q4,PAIRED_RESIDUAL_MEAN,439,74.3649441852,90.0710066552,-3.52768666223,0.231977607496,9.17995444191,0.769965277778,0.113895216401,0.159453302961
development,value_tier,Q4,WR033_X_PREV_RATE,439,86.2095713519,108.622937918,48.1836406581,0.229210376647,9.08428246014,0.764756944444,0.300683371298,0.0546697038724
development,value_tier,Q4,PRIOR_TOTAL_SCHEDULE_ADJUSTED,439,102.077630979,129.440159475,79.7024829157,0.246968051453,8.87927107062,0.754340277778,0.380410022779,0.0296127562642
development,value_tier,Q4,POSITION_MEAN_TOTAL,439,77.4206968076,101.897899788,-42.9110228771,0.124626586604,10.5011389522,0.748263888889,0,0.284738041002
development,value_tier,D10,INDEPENDENT_PRODUCT,181,93.7700364438,110.263670503,-11.157214198,0.166336770006,4.33149171271,1,0.198895027624,0.209944751381
development,value_tier,D10,PAIRED_RESIDUAL_MEAN,181,93.6586935726,109.558952803,-11.2933212507,0.168976888174,4.34254143646,1,0.198895027624,0.220994475138
