player_id,player_name,position,prior_2025_games,naive_prev_ppr_pg,ridge_shadow_ppr_pg,boost_shadow_ppr_pg,rookie_or_no_2025_history
00-0040128,Tyler Warren,TE,17,11.0882,9.9831,12.5917,False
00-0030506,Travis Kelce,TE,17,11.3647,10.5790,12.3637,False
00-0036040,Juwan Johnson,TE,17,10.5824,9.7214,11.4647,False
00-0039338,Brock Bowers,TE,12,14.6833,10.7325,10.4303,False
00-0040663,Harold Fannin Jr.,TE,16,11.6500,10.0471,10.1085,False
00-0039065,Sam LaPorta,TE,9,11.8778,8.8746,9.6370,False
00-0030061,Zach Ertz,TE,13,9.7231,9.1241,9.4222,False
00-0034753,Mark Andrews,TE,17,7.7059,8.0813,8.8711,False
00-0038041,Jake Ferguson,TE,17,11.0647,7.5375,8.4176,False
00-0031610,Darren Waller,TE,9,9.8556,6.8355,8.4058,False
00-0038996,Tucker Kraft,TE,8,14.6500,9.5623,8.0602,False
00-0038129,Cade Otton,TE,15,8.1467,8.2726,7.9217,False
00-0039847,Theo Johnson,TE,15,8.5200,7.4195,7.3319,False
00-0037809,Chig Okonkwo,TE,17,7.2941,7.0385,7.2952,False
00-0037252,Greg Dulcich,TE,9,6.9778,5.4992,6.8974,False
00-0033357,Taysom Hill,TE,13,3.2138,6.9716,5.7955,False
00-0035229,T.J. Hockenson,TE,15,7.5200,7.2910,5.7006,False
00-0037838,Isaiah Likely,TE,12,5.1417,6.1127,5.5722,False
00-0040736,Mason Taylor,TE,13,6.8385,7.0671,5.5332,False
00-0040584,Gunnar Helm,TE,16,5.7313,6.0421,5.1614,False
00-0034829,Mike Gesicki,TE,12,5.8917,5.3891,5.1200,False
00-0038558,Darnell Washington,TE,13,5.6462,6.0231,4.7648,False
00-0033885,David Njoku,TE,11,7.8455,6.0297,4.5589,False
00-0035644,Noah Fant,TE,13,5.7538,4.7470,4.4128,False
00-0034270,Tyler Conklin,TE,6,2.8833,3.6139,4.4107,False
00-0039356,Ja'Tavion Sanders,TE,12,4.5000,3.9246,4.3199,False
00-0036637,Noah Gray,TE,14,2.7714,4.1679,4.3053,False
00-0039074,Davis Allen,TE,15,4.1867,3.9823,4.2098,False
00-0040739,Elijah Arroyo,TE,13,2.8385,4.1706,4.1049,False
00-0037004,Hunter Long,TE,7,4.6429,3.3542,3.9393,False
00-0035249,Josh Oliver,TE,12,4.5833,3.9193,3.8643,False
00-0039066,Michael Mayer,TE,13,5.6769,5.4199,3.7999,False
00-0039041,Elijah Higgins,TE,17,3.4176,3.9435,3.7643,False
00-0039912,Ben Sinnott,TE,9,3.1556,3.6761,3.5944,False
00-0037805,Jeremy Ruckert,TE,14,3.3500,3.3496,3.4865,False
00-0036754,Brock Wright,TE,8,4.6000,2.9100,3.4828,False
00-0034159,Will Dissly,TE,8,2.5875,3.2868,3.4808,False
00-0037086,Grant Calcaterra,TE,9,2.5111,3.0528,3.3866,False
00-0038115,Daniel Bellinger,TE,13,4.5846,4.1888,3.3786,False
00-0033455,Anthony Firkser,TE,5,2.6600,2.9764,3.2788,False
00-0033246,Johnny Mundt,TE,12,1.6750,3.0611,3.2781,False
00-0033217,Mo Alie-Cox,TE,11,2.7909,2.7897,3.2750,False
00-0034981,Foster Moreau,TE,7,1.8429,2.4844,3.2107,False
00-0034613,Tanner Hudson,TE,10,4.7800,3.5746,3.1967,False
00-0038720,Julian Hill,TE,11,2.8182,3.0170,3.1861,False
00-0034365,Ian Thomas,TE,9,2.7111,3.4884,3.1753,False
00-0036628,John Bates,TE,10,2.7300,3.2818,3.1686,False
00-0037348,Tanner Conner,TE,8,2.2625,2.8064,3.1439,False
00-0038046,Charlie Kolar,TE,13,2.7846,3.6336,3.1373,False
00-0038547,Luke Schoonmaker,TE,14,1.9429,2.8713,3.0445,False
00-0037475,Stone Smartt,TE,6,2.0333,2.3227,3.0070,False
00-0037306,John FitzPatrick,TE,11,2.2909,2.8364,2.8599,False
00-0035631,Drew Sample,TE,12,2.6583,2.5284,2.8585,False
00-0036741,Jack Stoll,TE,9,1.8444,1.8421,2.6544,False
00-0039530,Brevyn Spann-Ford,TE,16,1.5000,2.1638,2.4319,False
00-0036429,Charlie Woerner,TE,7,1.8286,1.9410,2.3680,False
00-0039458,Brenden Bates,TE,5,1.7600,2.7623,2.2128,False
00-0036590,Quintin Morris,TE,11,1.5909,1.8866,2.1881,False
00-0040509,Ben Yurosek,TE,6,0.5667,2.0002,2.1710,False
00-0039686,Colson Yankoff,TE,10,0.3800,1.9882,2.0202,False
00-0036876,Kylen Granson,TE,12,0.9167,1.8346,1.6542,False
00-0036825,Feleipe Franks,TE,10,0.0400,1.2948,1.6250,False
00-0034073,Ross Dwelley,TE,4,0.6750,1.1801,1.6087,False
00-0039050,Payne Durham,TE,8,0.2625,1.5507,1.5802,False
00-0039754,Devin Culp,TE,4,1.9000,1.9996,1.5764,False
00-0039648,David Martin-Robinson,TE,11,1.1818,1.5588,1.5212,False
00-0031484,Chris Manhertz,TE,4,0.4250,1.3141,1.5022,False
00-0033439,Pharaoh Brown,TE,5,0.4200,1.1798,1.5022,False
00-0037292,Andrew Ogletree,TE,11,1.1545,1.6379,1.4104,False
00-0036332,Josiah Deguara,TE,7,1.5857,1.4515,1.3693,False
00-0038710,Blake Whiteheart,TE,9,0.2667,1.4373,1.3351,False
00-0038564,Cameron Latu,TE,10,0.0000,1.7270,1.2080,False
00-0038643,Brayden Willis,TE,6,0.0000,1.0541,1.2080,False
00-0040058,Nick Kallerup,TE,4,0.0000,1.6601,1.2080,False
00-0037247,George Pickens,WR,17,17.1706,15.0062,16.6995,False
00-0036963,Amon-Ra St. Brown,WR,17,19.0588,16.8398,15.5256,False
00-0039067,Rashee Rice,WR,8,18.7625,12.4256,14.8674,False
00-0037238,Drake London,WR,12,16.8250,13.6839,14.4231,False
00-0036900,Ja'Marr Chase,WR,16,19.6000,17.2828,14.2455,False
00-0036358,CeeDee Lamb,WR,13,15.4538,13.0750,14.1591,False
00-0036410,Tee Higgins,WR,15,14.1067,12.8038,13.9712,False
00-0039337,Malik Nabers,WR,4,14.2750,11.1626,12.2948,False
00-0038117,Wan'Dale Robinson,WR,16,13.6188,11.6343,12.2201,False
00-0037239,Chris Olave,WR,16,16.7500,10.1984,12.0813,False
00-0037240,Jameson Williams,WR,17,12.9353,12.0350,11.4066,False
00-0036322,Justin Jefferson,WR,17,11.8529,11.3889,11.3054,False
00-0033040,Tyreek Hill,WR,4,13.3750,10.9513,11.2695,False
00-0040129,Emeka Egbuka,WR,17,11.5118,10.6561,11.1905,False
00-0037664,Alec Pierce,WR,15,12.2200,10.5681,11.0933,False
00-0036613,Jaylen Waddle,WR,16,12.1325,10.6669,11.0193,False
00-0035719,Deebo Samuel Sr.,WR,16,11.7625,9.7497,10.9546,False
00-0037740,Garrett Wilson,WR,7,14.2143,11.1070,10.8619,False
00-0039064,Zay Flowers,WR,17,14.3118,12.5285,10.7321,False
00-0035659,Terry McLaurin,WR,10,11.4200,10.4828,10.4851,False
00-0036252,Michael Pittman,WR,17,11.9059,10.3411,10.0809,False
00-0038994,Jordan Addison,WR,14,9.6500,9.2408,10.0642,False
00-0039868,Troy Franklin,WR,17,10.4176,9.7096,9.8622,False
00-0038559,Michael Wilson,WR,17,12.9765,10.3304,9.4905,False
00-0039849,Marvin Harrison Jr.,WR,12,10.6500,9.4232,8.7030,False
00-0033921,Chris Godwin Jr.,WR,9,9.2222,10.0210,8.5746,False
00-0038997,Josh Downs,WR,16,8.6500,8.9101,8.4415,False
00-0031408,Mike Evans,WR,8,10.6000,9.1677,8.3792,False
00-0038563,Tre Tucker,WR,17,9.5118,8.9692,8.0310,False
00-0034837,Calvin Ridley,WR,7,6.7571,7.0934,7.3517,False
00-0036407,Jerry Jeudy,WR,17,7.1000,8.8592,7.1268,False
00-0039890,Adonai Mitchell,WR,16,5.4938,5.2404,7.0308,False
00-0036309,Darnell Mooney,WR,15,5.4867,7.3213,7.0193,False
00-0035662,Marquise Brown,WR,16,8.6062,8.4972,6.9041,False
00-0039855,Jalen McMillan,WR,4,7.4750,7.0437,6.7298,False
00-0039894,Xavier Worthy,WR,14,7.8500,8.3903,6.7044,False
00-0040170,Elic Ayomanor,WR,16,7.2812,7.5863,6.6736,False
00-0040237,Tez Johnson,WR,15,6.1600,6.5373,6.4454,False
00-0039410,Ryan Flournoy,WR,15,7.6000,5.9658,6.3310,False
00-0038393,Dontayvion Wicks,WR,13,5.8308,6.3730,6.1196,False
00-0040705,Chimere Dike,WR,17,7.5353,7.2656,6.0189,False
00-0037291,Jalen Nailor,WR,17,5.9235,6.3979,5.9628,False
00-0035535,Darius Slayton,WR,14,7.0571,6.8204,5.9113,False
00-0037666,Jalen Tolbert,WR,12,3.8583,5.2314,5.9081,False
00-0032385,Sterling Shepard,WR,13,6.3077,6.1138,5.8818,False
00-0039880,Malik Washington,WR,17,6.8647,5.5793,5.8818,False
00-0038619,Andrei Iosivas,WR,15,5.9933,6.1282,5.8771,False
00-0038979,Cedric Tillman,WR,12,5.0000,5.9444,5.8663,False
00-0038104,Tyquan Thornton,WR,12,6.7333,5.6175,5.8651,False
00-0037614,John Metchie III,WR,13,5.5308,5.6419,5.8134,False
00-0040782,Isaiah Bond,WR,15,3.6467,4.9064,5.7490,False
00-0040648,Tory Horton,WR,8,8.1375,7.2277,5.7142,False
00-0036626,Dyami Brown,WR,11,4.5182,5.1747,5.6693,False
00-0036550,Rashod Bateman,WR,13,4.2615,5.1148,5.5962,False
00-0039424,Devaughn Vele,WR,9,7.3667,7.1983,5.5605,False
00-0036415,Van Jefferson,WR,14,5.0000,5.7921,5.5095,False
00-0036988,Josh Palmer,WR,12,4.3583,5.1943,5.5095,False
00-0037801,KaVontae Turpin,WR,15,5.6333,5.6546,5.4998,False
00-0035359,David Sills,WR,12,4.0917,4.8068,5.4955,False
00-0034983,Hunter Renfrow,WR,6,5.9833,5.8997,5.2861,False
00-0040669,Isaac TeSlaa,WR,14,5.4214,5.8381,5.2854,False
00-0033891,Zay Jones,WR,6,5.0500,4.2412,5.1950,False
00-0036165,Isaiah Hodgins,WR,6,4.5833,5.0192,5.1950,False
00-0033943,Josh Reynolds,WR,5,4.6200,4.3382,5.1250,False
00-0036182,Nick Westbrook-Ikhine,WR,13,1.5308,4.2920,5.1151,False
00-0032398,Chris Moore,WR,10,3.8600,4.8255,5.1065,False
00-0032211,Tyler Lockett,WR,17,3.9471,5.1106,5.0931,False
00-0038839,Mitchell Tinsley,WR,8,3.9500,4.4998,5.0383,False
00-0032464,Kalif Raymond,WR,15,4.4533,5.0562,5.0092,False
00-0030564,DeAndre Hopkins,WR,17,3.9412,5.1155,4.8554,False
00-0033857,JuJu Smith-Schuster,WR,17,4.3235,4.9521,4.8061,False
00-0039355,Luke McCaffrey,WR,9,5.7000,5.6919,4.7535,False
00-0037231,Kevin Austin Jr.,WR,5,6.6000,4.8977,4.6203,False
