split,event,model,scope,scope_value,n,prevalence,brier,brier_baseline,brier_skill,roc_auc,pr_auc,log_loss
development,high_availability,LOGIT_MINIMAL,pooled,ALL,1735,0.13487031700288185,0.10779870455563771,0.11701237624837299,0.07874100149182628,0.7435626960943417,0.27183068415981065,0.35496814732277554
development,high_availability,LOGIT_MINIMAL,position,QB,237,0.0970464135021097,0.08132252230210707,0.08978821871196989,0.09428515824575812,0.8370581064607883,0.2899803637808118,0.27481307895002693
development,high_availability,LOGIT_MINIMAL,position,RB,448,0.14732142857142858,0.11768250180454298,0.12592040445886252,0.06542150725866525,0.7156314453434873,0.27484492030014523,0.3825031128849688
development,high_availability,LOGIT_MINIMAL,position,WR,668,0.15419161676646706,0.11733609767640031,0.13119551426730403,0.10563940900194102,0.7499613368846121,0.30839800898976616,0.3808130906187136
development,high_availability,LOGIT_MINIMAL,position,TE,382,0.1099476439790576,0.09595560356586755,0.09865371787450467,0.0273493423944684,0.7095938375350139,0.2355271024008001,0.32721072457615824
development,high_availability,LOGIT_FULL,pooled,ALL,1735,0.13487031700288185,0.11202430775484361,0.11701237624837299,0.0426285548029689,0.724484246969257,0.26427947545368885,0.37085536262710567
development,high_availability,LOGIT_FULL,position,QB,237,0.0970464135021097,0.08009639410099928,0.08978821871196989,0.10794093868885901,0.8470134091832588,0.34158219755071073,0.2666433187965388
development,high_availability,LOGIT_FULL,position,RB,448,0.14732142857142858,0.12326986146917138,0.12592040445886252,0.021049352573808355,0.7113279390766304,0.26588536246159145,0.4038356177008139
development,high_availability,LOGIT_FULL,position,WR,668,0.15419161676646706,0.12280194532634336,0.13119551426730403,0.06397756042069547,0.7138671707191339,0.29289391129734826,0.4021475932593335
development,high_availability,LOGIT_FULL,position,TE,382,0.1099476439790576,0.0997977254883002,0.09865371787450467,-0.011596193619897832,0.6752100840336134,0.23268991475423523,0.34211161930902917
confirmation,low_availability,PREVALENCE,pooled,ALL,1773,0.7253243090806543,0.19865623377096922,0.19865623377096922,0.0,0.5146675139952929,0.74144339295056,0.5862189996703192
confirmation,low_availability,PREVALENCE,position,QB,258,0.8023255813953488,0.1587108006431859,0.1587108006431859,0.0,0.44629156010230175,0.7821788835438988,0.49750729671974403
confirmation,low_availability,PREVALENCE,position,RB,452,0.7345132743362832,0.1965127951281806,0.1965127951281806,0.0,0.4495983935742972,0.7087053208254829,0.5823757414962781
confirmation,low_availability,PREVALENCE,position,WR,683,0.7218155197657394,0.2019071892233751,0.2019071892233751,0.0,0.48527810398206467,0.7119464991388861,0.5938694953096666
confirmation,low_availability,PREVALENCE,position,TE,380,0.6684210526315789,0.2224834796644306,0.2224834796644306,0.0,0.5135764279465067,0.6772003334810239,0.6372702721288475
confirmation,low_availability,LOGIT_MINIMAL,pooled,ALL,1773,0.7253243090806543,0.16634549001745388,0.19865623377096922,0.1626465132262922,0.7618492947266566,0.889563795253071,0.5017052852866227
confirmation,low_availability,LOGIT_MINIMAL,position,QB,258,0.8023255813953488,0.13301497021098616,0.1587108006431859,0.1619034768148464,0.7847399829497016,0.933121090279292,0.41678492934215705
confirmation,low_availability,LOGIT_MINIMAL,position,RB,452,0.7345132743362832,0.16371692758402606,0.1965127951281806,0.1668892222654641,0.7654743975903614,0.895349449120404,0.4984392972023328
confirmation,low_availability,LOGIT_MINIMAL,position,WR,683,0.7218155197657394,0.17294168472627472,0.2019071892233751,0.14345950041954725,0.7449396818618554,0.8830592561328379,0.5173147366401123
confirmation,low_availability,LOGIT_MINIMAL,position,TE,380,0.6684210526315789,0.18024597250127875,0.2224834796644306,0.18984558865610257,0.7687164104486941,0.8693469120055188,0.5351906094269853
confirmation,low_availability,LOGIT_FULL,pooled,ALL,1773,0.7253243090806543,0.16515399642621226,0.19865623377096922,0.16864427915905067,0.7656942080404674,0.8859092234862802,0.5066224552406274
confirmation,low_availability,LOGIT_FULL,position,QB,258,0.8023255813953488,0.1406839513104835,0.1587108006431859,0.11358300291881473,0.7574121436014021,0.9197268204261478,0.4378013401200425
confirmation,low_availability,LOGIT_FULL,position,RB,452,0.7345132743362832,0.15709429568083422,0.1965127951281806,0.2005899891741636,0.7852158634538152,0.9031346121711696,0.48209513106685803
confirmation,low_availability,LOGIT_FULL,position,WR,683,0.7218155197657394,0.16878402721770222,0.2019071892233751,0.1640514244840875,0.7589463008433863,0.8889326460830667,0.5076121811220767
confirmation,low_availability,LOGIT_FULL,position,TE,380,0.6684210526315789,0.18483016838984717,0.2224834796644306,0.16924093119801753,0.7571866016747907,0.8482350042184813,0.5807440748475348
confirmation,high_availability,PREVALENCE,pooled,ALL,1773,0.1449520586576424,0.12371680934616526,0.12371680934616526,0.0,0.5295935443466834,0.14947182377027932,0.4128000550976
confirmation,high_availability,PREVALENCE,position,QB,258,0.07751937984496124,0.07324702717161648,0.07324702717161648,0.0,0.5176470588235295,0.08217054263565891,0.2819252729496803
confirmation,high_availability,PREVALENCE,position,RB,452,0.15265486725663716,0.12953062897596399,0.12953062897596399,0.0,0.4414424641465168,0.1391452583229368,0.42797662403505216
