player_id,player_name,position,rookie,draft_pick,age_sep1,experience_years,baseline_ppr_pg,ridge_ppr_pg,boost_ppr_pg,baseline_games,ridge_games,boost_games
00-0038951,Sean Tucker,RB,False,,24.852,3,5.3765,4.0488,4.5898,17.0,5.899,5.666
00-0040466,Raheim Sanders,RB,False,,24.233,1,5.075,4.0449,3.4595,4.0,3.736,3.268
00-0032104,Ameer Abdullah,RB,False,54.0,33.219,11,2.9154,3.9919,4.0941,13.0,4.312,3.673
00-0036265,AJ Dillon,RB,False,62.0,28.335,6,1.5167,3.9087,4.3582,6.0,4.193,3.684
00-0038705,Emari Demercado,RB,False,,27.615,3,4.8583,3.8903,4.1277,12.0,5.27,5.814
00-0041490,Eli Heidenreich,RB,True,230.0,23.097,0,3.0249,3.6967,3.1502,4.506,5.262,4.616
00-0038440,Zavier Scott,RB,False,,27.127,3,3.5636,3.6474,2.8572,11.0,4.278,4.727
00-0039796,Rasheen Ali,RB,False,165.0,25.539,2,1.6133,3.3667,2.6144,15.0,5.252,5.619
00-0041125,Seth McGowan,RB,True,237.0,24.857,0,3.0249,3.3319,2.3557,4.506,5.164,3.31
00-0040547,Nate Carter,RB,False,,24.28,1,2.0,3.1567,3.6543,2.0,3.175,2.678
00-0037258,Dameon Pierce,RB,False,107.0,26.533,4,0.72,3.1475,4.379,5.0,3.59,3.212
00-0038040,Zamir White,RB,False,122.0,26.955,4,1.92,3.1373,3.4378,5.0,3.322,3.057
00-0037276,Ty Chandler,RB,False,169.0,28.307,4,2.9333,3.1202,3.7157,3.0,3.227,2.976
00-0033699,Austin Ekeler,RB,False,,31.294,9,6.55,3.1003,2.3918,2.0,2.358,1.739
00-0038738,Hunter Luepke,RB,False,,26.508,3,2.6429,3.0847,2.382,14.0,5.039,4.515
00-0040556,Corey Kiner,RB,False,,24.611,1,2.325,3.0114,3.5896,4.0,3.66,3.052
00-0039021,Roschon Johnson,RB,False,115.0,25.583,3,0.2833,2.9989,3.6004,6.0,3.831,3.673
00-0037563,Malik Davis,RB,False,,27.765,4,4.06,2.8867,4.0696,10.0,4.076,4.107
00-0039363,Isaac Guerendo,RB,False,129.0,26.177,2,0.0,2.7335,3.269,7.0,4.26,5.697
00-0040067,Jacardia Wright,RB,False,,25.931,1,2.0,2.6906,3.4859,1.0,2.889,2.637
00-0036984,Trey Sermon,RB,False,88.0,27.587,5,0.0,2.6739,4.3934,3.0,3.214,3.103
00-0039364,Sione Vaki,RB,False,132.0,25.09,2,0.05,2.62,3.1265,8.0,4.191,4.298
00-0038397,Evan Hull,RB,False,176.0,25.849,3,1.0667,2.6139,2.8131,6.0,3.586,3.293
00-0040208,Tahj Brooks,RB,False,193.0,24.304,1,0.5333,2.5764,2.4758,12.0,5.087,5.688
00-0040039,Amar Johnson,RB,False,,23.584,1,0.8,2.4255,3.1884,1.0,2.781,2.657
00-0036842,Kene Nwangwu,RB,False,119.0,28.559,5,1.09,2.4032,3.5148,10.0,3.292,4.63
00-0040205,Kalel Mullings,RB,False,188.0,23.91,1,0.175,2.3111,2.4384,4.0,3.491,4.141
00-0039757,Terrell Jennings,RB,False,,25.66,2,2.5333,2.2758,3.5806,6.0,2.605,3.18
00-0035291,Trayveon Williams,RB,False,182.0,28.871,7,2.85,2.0652,2.9048,6.0,3.07,3.484
00-0039266,Kendall Milton,RB,False,,24.556,2,0.2,2.006,2.493,1.0,2.356,2.583
00-0036425,DeeJay Dallas,RB,False,144.0,27.96,6,0.42,1.8855,3.4506,5.0,3.547,4.519
00-0040429,Josh Williams,RB,False,,26.229,1,0.55,1.8243,2.448,2.0,2.33,2.024
00-0037329,Brittain Brown,RB,False,250.0,28.893,4,4.85,1.8202,3.4355,2.0,2.517,3.438
00-0034367,Nyheim Hines,RB,False,104.0,29.802,8,-0.05,1.8066,3.4383,4.0,2.294,2.555
00-0037120,Tyler Goodson,RB,False,,25.808,4,0.52,1.7988,2.1475,10.0,3.488,3.697
00-0039407,Dylan Laube,RB,False,208.0,26.716,2,0.3353,1.7639,2.1903,17.0,5.099,4.853
00-0038896,Jacob Saylors,RB,False,,26.484,3,0.1,1.6548,1.6886,11.0,3.619,4.092
00-0040476,Ulysses Bentley IV,RB,False,,25.671,1,0.0,1.6209,2.4932,1.0,2.021,2.024
00-0038396,Eric Gray,RB,False,172.0,26.826,3,0.0,1.5295,2.5514,1.0,2.826,3.989
00-0036906,Khalil Herbert,RB,False,217.0,28.365,5,1.32,1.5221,2.432,5.0,3.027,2.374
00-0037594,Julius Chestnut,RB,False,,25.849,4,0.25,1.5116,2.2982,16.0,4.482,4.146
00-0034681,Chase Edmonds,RB,False,134.0,30.385,8,0.0,1.3557,2.816,3.0,2.134,3.221
00-0038458,Owen Wright,RB,False,,27.508,3,0.3,1.3459,2.3893,2.0,1.907,2.024
00-0038409,Lew Nichols III,RB,False,235.0,25.044,3,0.0,1.21,2.2991,1.0,2.173,2.576
00-0031687,Raheem Mostert,RB,False,,34.396,11,2.45,1.0886,2.2094,12.0,2.414,3.438
00-0038678,Jordan Mims,RB,False,,27.212,3,0.0,1.0055,2.3081,1.0,1.264,2.6
00-0036950,Avery Williams,RB,False,183.0,28.132,5,0.0,1.0037,2.6266,1.0,2.739,4.804
00-0036187,Reggie Gilliam,RB,False,,29.033,6,0.4364,0.9889,1.018,11.0,3.037,3.793
00-0033854,Dare Ogunbowale,RB,False,,32.329,9,1.7214,0.9404,1.4748,14.0,3.141,3.458
00-0035594,Travis Homer,RB,False,204.0,28.069,7,-0.025,0.6577,2.0309,8.0,2.447,3.16
00-0036569,Gary Brightwell,RB,False,196.0,28.507,5,0.0,0.5474,2.3893,2.0,1.196,2.794
00-0035567,Craig Reynolds,RB,False,,30.213,7,0.08,0.511,1.353,5.0,1.505,1.495
00-0036567,Elijah Mitchell,RB,False,194.0,28.335,5,0.0,0.4077,2.3328,1.0,2.558,2.885
00-0035311,Myles Gaskin,RB,False,234.0,29.542,7,0.6,0.0247,1.6837,1.0,0.427,1.178
00-0033376,Patrick Ricard,RB,False,,32.266,9,0.42,0.0,2.1227,5.0,1.177,1.991
00-0035726,Jakob Johnson,RB,False,,31.713,7,0.0,0.0,1.6302,2.0,0.066,1.729
00-0037744,Trey McBride,TE,False,55.0,26.777,4,18.5824,13.4617,12.1382,17.0,10.41,1.291
00-0039338,Brock Bowers,TE,False,13.0,23.718,2,14.6833,11.9317,11.4392,12.0,9.451,8.959
00-0036970,Kyle Pitts,TE,False,4.0,25.903,5,12.4,11.7702,11.5691,17.0,11.77,12.294
00-0040128,Tyler Warren,TE,False,14.0,24.274,1,11.0882,10.8606,11.5671,17.0,10.814,12.977
00-0040663,Harold Fannin Jr.,TE,False,67.0,22.117,1,11.65,10.3532,10.6306,16.0,10.065,11.127
00-0039065,Sam LaPorta,TE,False,34.0,25.635,3,11.8778,8.7148,8.1756,9.0,6.558,2.673
00-0038996,Tucker Kraft,TE,False,78.0,25.827,3,14.65,8.7124,7.3051,8.0,5.804,1.506
00-0030506,Travis Kelce,TE,False,63.0,36.907,13,11.3647,8.5492,8.8387,17.0,5.819,5.871
00-0035229,T.J. Hockenson,TE,False,8.0,29.164,7,7.52,7.9439,7.3209,15.0,8.469,7.436
00-0036040,Juwan Johnson,TE,False,,29.966,6,10.5824,7.9437,10.7024,17.0,7.616,9.043
00-0030061,Zach Ertz,TE,False,35.0,35.809,13,9.7231,7.8521,6.8778,13.0,5.077,4.804
00-0040736,Mason Taylor,TE,False,42.0,22.317,1,6.8385,7.8236,6.8425,13.0,8.746,9.523
00-0038041,Jake Ferguson,TE,False,129.0,27.62,4,11.0647,7.7481,9.6801,17.0,9.489,11.149
00-0038129,Cade Otton,TE,False,106.0,27.382,4,8.1467,7.4019,7.6363,15.0,7.493,7.514
00-0039847,Theo Johnson,TE,False,107.0,25.512,2,8.52,7.2827,7.6166,15.0,9.025,8.34
00-0034753,Mark Andrews,TE,False,86.0,30.988,8,7.7059,7.0936,9.6995,17.0,8.193,14.858
00-0033885,David Njoku,TE,False,29.0,30.144,9,7.8455,6.8214,5.0686,11.0,5.409,3.967
