split,scope,scope_value,model,n,mae,rmse,bias,spearman
confirmation,position,TE,MULTINOMIAL_HURDLE,380,4.699228273368132,5.4539810406244404,-0.22738142369449613,0.4089309522286005
confirmation,season,2022,MULTINOMIAL_HURDLE,475,4.346668646240623,5.223001343885128,0.26658608855187066,0.34089911519610433
confirmation,season,2023,MULTINOMIAL_HURDLE,446,4.725064879839795,5.529518434974392,0.18331386136009425,0.33050736451898727
confirmation,season,2024,MULTINOMIAL_HURDLE,421,4.835204341740936,5.642769003632477,-0.4183554995745937,0.43151405154881717
confirmation,season,2025,MULTINOMIAL_HURDLE,431,4.602000272943187,5.3982817071789615,0.2778140893004654,0.30645518533452554
all,pooled,ALL,PREV_RATE,3508,5.647733751425314,7.35597288512261,3.8462086659064996,0.3304989258892806
all,position,QB,PREV_RATE,495,4.727146464646465,6.428866673414954,2.859469696969697,0.2753238030201996
all,position,RB,PREV_RATE,900,5.960763888888889,7.687153052243145,4.145902777777778,0.32235650363347296
all,position,WR,PREV_RATE,1351,5.942588823094004,7.688641421403446,4.213129163582532,0.3442851120340869
all,position,TE,PREV_RATE,762,5.353264435695538,6.903232192702548,3.4826935695538057,0.3634809324552582
all,season,2018,PREV_RATE,419,5.778042959427208,7.435482242691744,4.293556085918855,0.3292821421646066
all,season,2019,PREV_RATE,444,5.849099099099099,7.417868614014053,3.885135135135135,0.3276230343993762
all,season,2020,PREV_RATE,437,5.7345537757437075,7.407399355873241,3.606407322654462,0.2727041743676041
all,season,2021,PREV_RATE,435,5.855747126436782,7.478100210522769,3.8977011494252873,0.27467959871507575
all,season,2022,PREV_RATE,475,5.265263157894736,7.017121917139534,3.6821052631578945,0.36155768392753196
all,season,2023,PREV_RATE,446,5.645739910313901,7.40439815971719,3.7757847533632285,0.32925350282550664
all,season,2024,PREV_RATE,421,5.418052256532066,7.213572586013237,3.5558194774346794,0.41817427949428404
all,season,2025,PREV_RATE,431,5.663573085846868,7.488738645227227,4.099767981438515,0.3207328027306316
all,pooled,ALL,PREV_GAMES,3508,5.613740022805017,7.307487452061046,3.78363740022805,0.33024474942225507
all,position,QB,PREV_GAMES,495,4.694949494949495,6.384640660494243,2.808080808080808,0.2770917273096791
all,position,RB,PREV_GAMES,900,5.927777777777778,7.635225384143331,4.078888888888889,0.3230965590119544
all,position,WR,PREV_GAMES,1351,5.9059955588453,7.639596487574993,4.147298297557365,0.34260106408728397
all,position,TE,PREV_GAMES,762,5.321522309711286,6.857281510284238,3.4238845144356955,0.36408429582030494
all,season,2018,PREV_GAMES,419,5.778042959427208,7.435482242691744,4.293556085918855,0.3292821421646066
