position,model,feature,seasons,median_standardized_coefficient,median_abs_coefficient,positive_fraction,negative_fraction,direction_consistency,stable
QB,low_availability,drafted,8,-0.26212325337733317,0.26212325337733317,0.0,1.0,1.0,True
QB,low_availability,prev1_pass_yards_pg,8,-0.2452405565280233,0.2452405565280233,0.0,1.0,1.0,True
QB,low_availability,prev2_ppr_pg,8,-0.2008191800131347,0.2008191800131347,0.0,1.0,1.0,True
QB,low_availability,weighted_ppr_pg,8,-0.18494704460929182,0.18494704460929182,0.0,1.0,1.0,True
QB,low_availability,prev1_ppr_pg,8,-0.16801868263538994,0.16801868263538994,0.0,1.0,1.0,True
QB,low_availability,prev1_rec_ypt,8,-0.14631008164008275,0.14631008164008275,0.0,1.0,1.0,True
QB,low_availability,prev1_receptions_pg,8,0.13112950592864792,0.13112950592864792,1.0,0.0,1.0,True
QB,low_availability,has_prev2,8,0.12943005987969544,0.12943005987969544,1.0,0.0,1.0,True
QB,low_availability,prev1_pass_tds_pg,8,-0.11481199799209071,0.11481199799209071,0.0,1.0,1.0,True
QB,low_availability,prev1_target_share,8,-0.1142997436857772,0.1142997436857772,0.0,1.0,1.0,True
QB,low_availability,prev1_air_yards_share,8,-0.11363901184657373,0.11363901184657373,0.0,1.0,1.0,True
QB,low_availability,prev1_wopr,8,-0.11317571880232197,0.11317571880232197,0.0,1.0,1.0,True
QB,low_availability,games_delta,8,-0.08719326566739231,0.08719326566739231,0.0,1.0,1.0,True
QB,low_availability,age_sep1,8,0.16909382006877155,0.16909382006877155,0.875,0.125,0.875,True
QB,low_availability,prev1_rush_tds_pg,8,-0.1425796118074083,0.1425796118074083,0.125,0.875,0.875,True
QB,low_availability,log_draft_pick,8,-0.07050346540315919,0.07050346540315919,0.125,0.875,0.875,True
QB,low_availability,prev1_rec_tds_pg,8,0.15049293107134715,0.15049293107134715,0.75,0.25,0.75,True
QB,low_availability,prev1_targets_pg,8,0.09374740381655516,0.09374740381655516,0.75,0.25,0.75,True
QB,low_availability,prev1_int_pg,8,0.07637978903474262,0.08595069307758946,0.75,0.25,0.75,True
QB,low_availability,experience_years,8,0.03636380774710476,0.043672779165380954,0.875,0.125,0.875,False
QB,low_availability,ppr_delta,8,0.030407506015864925,0.030407506015864925,0.75,0.25,0.75,False
QB,low_availability,prev1_attempts_pg,8,0.039345681286734824,0.10176213301716612,0.625,0.375,0.625,False
QB,low_availability,prev1_rush_yards_pg,8,0.03068219597971899,0.0948242273958062,0.625,0.375,0.625,False
QB,low_availability,draft_round,8,-0.027745210051556606,0.0748485845300297,0.375,0.625,0.625,False
QB,low_availability,prev1_rec_epa_pg,8,-0.028061030974851058,0.028061030974851058,0.375,0.625,0.625,False
QB,low_availability,prev1_carries_pg,8,0.007326277471182169,0.04251282319044131,0.5,0.5,0.5,False
QB,low_availability,age_missing,8,0.0,0.0,0.0,0.0,0.0,False
QB,performance,prev1_games,8,0.8300142727446205,0.8300142727446205,1.0,0.0,1.0,True
QB,performance,prev2_games,8,0.7779407447257534,0.7779407447257534,1.0,0.0,1.0,True
QB,performance,prev2_ppr_pg,8,0.6265168440420221,0.6265168440420221,1.0,0.0,1.0,True
QB,performance,prev1_pass_epa_pg,8,0.5663679383551175,0.5663679383551175,1.0,0.0,1.0,True
QB,performance,prev1_pass_tds_pg,8,0.5641887872968521,0.5641887872968521,1.0,0.0,1.0,True
QB,performance,prev1_carries_pg,8,0.5384364350928785,0.5384364350928785,1.0,0.0,1.0,True
QB,performance,drafted,8,0.5093024449151038,0.5093024449151038,1.0,0.0,1.0,True
QB,performance,weighted_ppr_pg,8,0.45974787777565895,0.45974787777565895,1.0,0.0,1.0,True
QB,performance,prev1_pass_ypa,8,-0.4294573283408165,0.4294573283408165,0.0,1.0,1.0,True
QB,performance,ppr_delta,8,-0.3612476225590002,0.3612476225590002,0.0,1.0,1.0,True
QB,performance,prev1_ppr_pg,8,0.34369387345780544,0.34369387345780544,1.0,0.0,1.0,True
QB,performance,prev1_rec_yards_pg,8,-0.3385825569051468,0.3385825569051468,0.0,1.0,1.0,True
QB,performance,log_draft_pick,8,-0.3025782680868349,0.3025782680868349,0.0,1.0,1.0,True
QB,performance,prev1_rec_epa_pg,8,0.28695309646812106,0.28695309646812106,1.0,0.0,1.0,True
QB,performance,prev1_air_yards_share,8,-0.2537214561935604,0.2537214561935604,0.0,1.0,1.0,True
QB,performance,prev1_rec_ypt,8,0.24823384627327202,0.24823384627327202,1.0,0.0,1.0,True
QB,performance,prev1_pass_yards_pg,8,0.22225730738687938,0.22225730738687938,1.0,0.0,1.0,True
QB,performance,age_sep1,8,-0.22179638694272175,0.22179638694272175,0.0,1.0,1.0,True
QB,performance,prev1_int_pg,8,-0.21171847795804416,0.21171847795804416,0.0,1.0,1.0,True
QB,performance,prev1_rush_epa_pg,8,-0.20508618470178636,0.20508618470178636,0.0,1.0,1.0,True
