split,scope,scope_value,method,n,coverage80,mean_width80,interval_score80,mean_crps,below_p10_rate,above_p90_rate,rank_coverage80,mean_rank_width80
development,fallback,False,PAIRED_RESIDUAL_DRAWS,1735,0.805763688761,98.9275811677,155.408922824,24.6611795269,0.099711815562,0.0945244956772,0.349855907781,29.3492795389
development,fallback,False,INDEPENDENT_RESIDUAL_DRAWS,1735,0.751008645533,77.2076279006,160.966799334,24.9243322068,0.104322766571,0.144668587896,0.342939481268,28.9994236311
confirmation,pooled,ALL,PAIRED_RESIDUAL_DRAWS,1773,0.82684715172,90.5127070655,138.876973485,21.8201963356,0.0891144952059,0.0840383530739,0.384658770446,31.0338409475
confirmation,pooled,ALL,INDEPENDENT_RESIDUAL_DRAWS,1773,0.779469825155,72.3898755314,140.471769004,21.9405705493,0.0919345741681,0.128595600677,0.381838691483,31.0451212634
confirmation,position,QB,PAIRED_RESIDUAL_DRAWS,258,0.779069767442,133.817054891,200.903574358,31.2838884425,0.139534883721,0.0813953488372,0.37984496124,14.496124031
confirmation,position,QB,INDEPENDENT_RESIDUAL_DRAWS,258,0.72480620155,102.855615493,206.646792535,31.5632747526,0.135658914729,0.139534883721,0.383720930233,15.0775193798
confirmation,position,RB,PAIRED_RESIDUAL_DRAWS,452,0.836283185841,85.5228876887,138.713649516,21.3558106943,0.0796460176991,0.0840707964602,0.380530973451,27.5287610619
confirmation,position,RB,INDEPENDENT_RESIDUAL_DRAWS,452,0.818584070796,72.8178476127,138.11696067,21.4210295668,0.0818584070796,0.0995575221239,0.378318584071,27.6725663717
confirmation,position,TE,PAIRED_RESIDUAL_DRAWS,380,0.818421052632,62.2819499601,106.654244732,16.5462127485,0.0868421052632,0.0947368421053,0.389473684211,24.3631578947
confirmation,position,TE,INDEPENDENT_RESIDUAL_DRAWS,380,0.736842105263,48.378131019,110.071143233,16.631238687,0.0947368421053,0.168421052632,0.378947368421,24.2947368421
confirmation,position,WR,PAIRED_RESIDUAL_DRAWS,683,0.843338213763,93.1636065082,133.48253181,21.4869364665,0.0775988286969,0.0790629575403,0.386530014641,43.3118594436
confirmation,position,WR,INDEPENDENT_RESIDUAL_DRAWS,683,0.797950219619,73.9577505297,133.946813057,21.6034123462,0.0805270863836,0.121522693997,0.385065885798,43.0644216691
confirmation,season,2022,PAIRED_RESIDUAL_DRAWS,475,0.865263157895,89.9544892319,128.747400788,20.1686964602,0.0652631578947,0.0694736842105,0.362105263158,34.6926315789
confirmation,season,2022,INDEPENDENT_RESIDUAL_DRAWS,475,0.818947368421,72.0019807275,129.746835985,20.3023659614,0.0736842105263,0.107368421053,0.366315789474,34.4105263158
confirmation,season,2023,PAIRED_RESIDUAL_DRAWS,446,0.831838565022,89.9785401319,128.422766095,20.2382256228,0.0941704035874,0.0739910313901,0.412556053812,30.9798206278
confirmation,season,2023,INDEPENDENT_RESIDUAL_DRAWS,446,0.77130044843,71.6137914882,129.921853936,20.3559945808,0.0964125560538,0.132286995516,0.410313901345,31.067264574
confirmation,season,2024,PAIRED_RESIDUAL_DRAWS,421,0.783847980998,90.8953039553,159.020840629,25.3346304908,0.0926365795724,0.12351543943,0.410926365796,27.3705463183
confirmation,season,2024,INDEPENDENT_RESIDUAL_DRAWS,421,0.745843230404,74.7005408039,166.478088176,25.5567792776,0.0902612826603,0.163895486936,0.401425178147,27.6959619952
confirmation,season,2025,PAIRED_RESIDUAL_DRAWS,431,0.821345707657,91.3069498329,141.182206571,21.8444297449,0.106728538283,0.0719257540603,0.354988399072,30.6357308585
confirmation,season,2025,INDEPENDENT_RESIDUAL_DRAWS,431,0.777262180974,71.3634101845,137.805747965,21.8534340913,0.109048723898,0.113689095128,0.350348027842,30.5846867749
confirmation,value_tier,Q4,PAIRED_RESIDUAL_DRAWS,449,0.610244988864,158.605082383,279.352148439,48.3095495546,0.233853006682,0.155902004454,0.218262806236,17.0289532294
confirmation,value_tier,Q4,INDEPENDENT_RESIDUAL_DRAWS,449,0.54565701559,138.883547583,296.682531812,48.6214149927,0.236080178174,0.218262806236,0.216035634744,17.3518930958
confirmation,value_tier,D10,PAIRED_RESIDUAL_DRAWS,184,0.5,184.266863921,365.422567114,62.3956963324,0.326086956522,0.173913043478,0.222826086957,10
confirmation,value_tier,D10,INDEPENDENT_RESIDUAL_DRAWS,184,0.429347826087,164.241542149,382.411525755,62.7878701166,0.326086956522,0.244565217391,0.222826086957,10.2010869565
confirmation,value_tier,WR_Q4,PAIRED_RESIDUAL_DRAWS,172,0.639534883721,169.764068757,271.601673223,49.6398911951,0.21511627907,0.145348837209,0.191860465116,26.1162790698
confirmation,value_tier,WR_Q4,INDEPENDENT_RESIDUAL_DRAWS,172,0.563953488372,148.830330521,291.768379342,49.7184257995,0.220930232558,0.21511627907,0.191860465116,26.9360465116
confirmation,fallback,False,PAIRED_RESIDUAL_DRAWS,1773,0.82684715172,90.5127070655,138.876973485,21.8201963356,0.0891144952059,0.0840383530739,0.384658770446,31.0338409475
confirmation,fallback,False,INDEPENDENT_RESIDUAL_DRAWS,1773,0.779469825155,72.3898755314,140.471769004,21.9405705493,0.0919345741681,0.128595600677,0.381838691483,31.0451212634
