season,position,label,n,prevalence,roc_auc,average_precision,brier,climatology_brier,brier_skill,log_loss,ece_fixed_bins,warning_informative
2025,WR,breakout,86,0.08139534883720931,0.759493670886076,0.17416898845470274,0.07837183749732804,0.07477014602487832,-0.0481701810673385,0.2920143608850514,0.0721483080171437,False
2018,WR,downside,84,0.13095238095238096,0.6425902864259029,0.25626058992079415,0.14141849751082633,0.11380385487528345,-0.24265120602290224,0.4324639235997023,0.1341138042915838,False
2019,WR,downside,85,0.21176470588235294,0.7180762852404643,0.42524094424567116,0.15866043526578275,0.1669204152249135,0.04948453997074598,0.4820374741789325,0.06543324049126473,True
2020,WR,downside,94,0.20212765957446807,0.7480701754385964,0.35516792083041054,0.14673150609951824,0.16127206880941602,0.09016169270502239,0.45111771346298324,0.06443429954468216,False
2021,WR,downside,91,0.23076923076923078,0.8163265306122449,0.46463128284386673,0.1598372696753316,0.17751479289940827,0.09958338082896523,0.5069555631923054,0.08429403259297302,False
2022,WR,downside,96,0.22916666666666666,0.8507371007371007,0.5623494467511578,0.15252549657304812,0.17664930555555555,0.13656328229901016,0.4568085882179389,0.14133772027232533,False
2023,WR,downside,77,0.2857142857142857,0.8223140495867769,0.7092541827901417,0.16296264149057768,0.20408163265306123,0.2014830566961694,0.49298770053917146,0.08410249601601869,True
2024,WR,downside,85,0.23529411764705882,0.8007692307692308,0.5558446283159303,0.1457791483917167,0.17993079584775085,0.18980434836142046,0.4471356191399753,0.07503191340011547,True
2025,WR,downside,86,0.23255813953488372,0.8553030303030302,0.6324912215003331,0.13300518717463292,0.17847485127095727,0.2547679058003144,0.4123737832135241,0.08921399582970228,True
2018,WR,low_availability,156,0.6923076923076923,0.7390046296296297,0.8629719592540844,0.18596010818340722,0.21301775147928995,0.1270206032501161,0.5501962311087234,0.03183803293856645,True
2019,WR,low_availability,175,0.6914285714285714,0.7245179063360881,0.8233794333525493,0.18451267382045825,0.21335510204081634,0.13518508788620553,0.5545779425293277,0.03128600217076711,False
2020,WR,low_availability,175,0.68,0.688625450180072,0.8126581820292502,0.20011306368179566,0.2176,0.08036275881527721,0.5854461809675288,0.033362876276235034,True
2021,WR,low_availability,162,0.691358024691358,0.67125,0.7936838740442543,0.19860675565536318,0.21338210638622163,0.06924362581797305,0.6276395480129694,0.04011822692732406,False
2022,WR,low_availability,188,0.7287234042553191,0.7493917274939171,0.8899690338250901,0.17200271865367225,0.19768560434585786,0.12991783482247143,0.5186761066388635,0.054938397795456465,True
