season,position,family,n,mean_feature_coverage,row_70pct_coverage_rate,prior_team_available_rate,split
2022,WR,OPPORTUNITY_ROLE,96,0.9375,0.9375,0.9375,confirmation
2022,TE,OPPORTUNITY_ROLE,56,0.9448051948051948,0.9464285714285714,0.9464285714285714,confirmation
2023,QB,OPPORTUNITY_ROLE,42,1.0,1.0,1.0,confirmation
2023,RB,OPPORTUNITY_ROLE,59,0.9780658025922233,0.9830508474576272,0.9830508474576272,confirmation
2023,WR,OPPORTUNITY_ROLE,77,0.974025974025974,0.974025974025974,0.974025974025974,confirmation
2023,TE,OPPORTUNITY_ROLE,52,0.9615384615384616,0.9615384615384616,0.9615384615384616,confirmation
2024,QB,OPPORTUNITY_ROLE,41,0.975609756097561,0.975609756097561,0.975609756097561,confirmation
2024,RB,OPPORTUNITY_ROLE,59,0.9631106679960121,0.9661016949152542,0.9661016949152542,confirmation
2024,WR,OPPORTUNITY_ROLE,85,0.9529411764705882,0.9529411764705882,0.9529411764705882,confirmation
2024,TE,OPPORTUNITY_ROLE,50,1.0,1.0,1.0,confirmation
2025,QB,OPPORTUNITY_ROLE,36,0.9722222222222222,0.9722222222222222,0.9722222222222222,confirmation
2025,RB,OPPORTUNITY_ROLE,52,0.9027149321266967,0.9038461538461539,0.9038461538461539,confirmation
2025,WR,OPPORTUNITY_ROLE,86,0.9883720930232558,0.9883720930232558,0.9883720930232558,confirmation
2025,TE,OPPORTUNITY_ROLE,57,0.9298245614035088,0.9298245614035088,0.9298245614035088,confirmation
2022,QB,EFFICIENCY_REGRESSION,44,0.673076923076923,0.5227272727272727,0.9545454545454546,confirmation
2022,RB,EFFICIENCY_REGRESSION,62,0.7220843672456574,0.7258064516129032,0.9516129032258065,confirmation
2022,WR,EFFICIENCY_REGRESSION,96,0.7633928571428571,0.8229166666666666,0.9375,confirmation
2022,TE,EFFICIENCY_REGRESSION,56,0.7091836734693876,0.7678571428571429,0.9464285714285714,confirmation
2023,QB,EFFICIENCY_REGRESSION,42,0.804029304029304,0.6428571428571429,1.0,confirmation
2023,RB,EFFICIENCY_REGRESSION,59,0.7118644067796611,0.6610169491525424,0.9830508474576272,confirmation
2023,WR,EFFICIENCY_REGRESSION,77,0.7643784786641927,0.8181818181818182,0.974025974025974,confirmation
2023,TE,EFFICIENCY_REGRESSION,52,0.8049450549450547,0.8846153846153846,0.9615384615384616,confirmation
2024,QB,EFFICIENCY_REGRESSION,41,0.8123827392120074,0.7560975609756098,0.975609756097561,confirmation
2024,RB,EFFICIENCY_REGRESSION,59,0.72490221642764,0.711864406779661,0.9661016949152542,confirmation
2024,WR,EFFICIENCY_REGRESSION,85,0.7932773109243698,0.8470588235294118,0.9529411764705882,confirmation
2024,TE,EFFICIENCY_REGRESSION,50,0.7857142857142857,0.86,1.0,confirmation
2025,QB,EFFICIENCY_REGRESSION,36,0.702991452991453,0.6388888888888888,0.9722222222222222,confirmation
2025,RB,EFFICIENCY_REGRESSION,52,0.720414201183432,0.7115384615384616,0.9038461538461539,confirmation
2025,WR,EFFICIENCY_REGRESSION,86,0.7192691029900331,0.7674418604651163,0.9883720930232558,confirmation
2025,TE,EFFICIENCY_REGRESSION,57,0.6466165413533834,0.7017543859649122,0.9298245614035088,confirmation
2022,QB,QB_TEAM_ENVIRONMENT,44,0.9507575757575757,0.9545454545454546,0.9545454545454546,confirmation
2022,RB,QB_TEAM_ENVIRONMENT,62,0.9516129032258065,0.9516129032258065,0.9516129032258065,confirmation
2022,WR,QB_TEAM_ENVIRONMENT,96,0.9375,0.9375,0.9375,confirmation
2022,TE,QB_TEAM_ENVIRONMENT,56,0.9464285714285714,0.9464285714285714,0.9464285714285714,confirmation
2023,QB,QB_TEAM_ENVIRONMENT,42,1.0,1.0,1.0,confirmation
2023,RB,QB_TEAM_ENVIRONMENT,59,0.9830508474576272,0.9830508474576272,0.9830508474576272,confirmation
2023,WR,QB_TEAM_ENVIRONMENT,77,0.974025974025974,0.974025974025974,0.974025974025974,confirmation
2023,TE,QB_TEAM_ENVIRONMENT,52,0.9615384615384616,0.9615384615384616,0.9615384615384616,confirmation
2024,QB,QB_TEAM_ENVIRONMENT,41,0.975609756097561,0.975609756097561,0.975609756097561,confirmation
2024,RB,QB_TEAM_ENVIRONMENT,59,0.9661016949152542,0.9661016949152542,0.9661016949152542,confirmation
2024,WR,QB_TEAM_ENVIRONMENT,85,0.9529411764705882,0.9529411764705882,0.9529411764705882,confirmation
2024,TE,QB_TEAM_ENVIRONMENT,50,1.0,1.0,1.0,confirmation
2025,QB,QB_TEAM_ENVIRONMENT,36,0.9722222222222222,0.9722222222222222,0.9722222222222222,confirmation
2025,RB,QB_TEAM_ENVIRONMENT,52,0.9038461538461539,0.9038461538461539,0.9038461538461539,confirmation
2025,WR,QB_TEAM_ENVIRONMENT,86,0.9883720930232558,0.9883720930232558,0.9883720930232558,confirmation
2025,TE,QB_TEAM_ENVIRONMENT,57,0.9298245614035088,0.9298245614035088,0.9298245614035088,confirmation
2022,QB,OL_ENVIRONMENT,44,0.9545454545454546,0.9545454545454546,0.9545454545454546,confirmation
2022,RB,OL_ENVIRONMENT,62,0.9516129032258065,0.9516129032258065,0.9516129032258065,confirmation
2022,WR,OL_ENVIRONMENT,96,0.9375,0.9375,0.9375,confirmation
2022,TE,OL_ENVIRONMENT,56,0.9464285714285714,0.9464285714285714,0.9464285714285714,confirmation
2023,QB,OL_ENVIRONMENT,42,1.0,1.0,1.0,confirmation
2023,RB,OL_ENVIRONMENT,59,0.9830508474576272,0.9830508474576272,0.9830508474576272,confirmation
2023,WR,OL_ENVIRONMENT,77,0.974025974025974,0.974025974025974,0.974025974025974,confirmation
2023,TE,OL_ENVIRONMENT,52,0.9615384615384616,0.9615384615384616,0.9615384615384616,confirmation
2024,QB,OL_ENVIRONMENT,41,0.975609756097561,0.975609756097561,0.975609756097561,confirmation
2024,RB,OL_ENVIRONMENT,59,0.9661016949152542,0.9661016949152542,0.9661016949152542,confirmation
2024,WR,OL_ENVIRONMENT,85,0.9529411764705882,0.9529411764705882,0.9529411764705882,confirmation
2024,TE,OL_ENVIRONMENT,50,1.0,1.0,1.0,confirmation
2025,QB,OL_ENVIRONMENT,36,0.9722222222222222,0.9722222222222222,0.9722222222222222,confirmation
2025,RB,OL_ENVIRONMENT,52,0.9038461538461539,0.9038461538461539,0.9038461538461539,confirmation
2025,WR,OL_ENVIRONMENT,86,0.9883720930232558,0.9883720930232558,0.9883720930232558,confirmation
2025,TE,OL_ENVIRONMENT,57,0.9298245614035088,0.9298245614035088,0.9298245614035088,confirmation
2022,QB,AGE_DRAFT_INTERACTIONS,44,1.0,1.0,0.9545454545454546,confirmation
2022,RB,AGE_DRAFT_INTERACTIONS,62,1.0,1.0,0.9516129032258065,confirmation
2022,WR,AGE_DRAFT_INTERACTIONS,96,1.0,1.0,0.9375,confirmation
2022,TE,AGE_DRAFT_INTERACTIONS,56,1.0,1.0,0.9464285714285714,confirmation
2023,QB,AGE_DRAFT_INTERACTIONS,42,1.0,1.0,1.0,confirmation
2023,RB,AGE_DRAFT_INTERACTIONS,59,1.0,1.0,0.9830508474576272,confirmation
2023,WR,AGE_DRAFT_INTERACTIONS,77,1.0,1.0,0.974025974025974,confirmation
2023,TE,AGE_DRAFT_INTERACTIONS,52,1.0,1.0,0.9615384615384616,confirmation
2024,QB,AGE_DRAFT_INTERACTIONS,41,1.0,1.0,0.975609756097561,confirmation
2024,RB,AGE_DRAFT_INTERACTIONS,59,1.0,1.0,0.9661016949152542,confirmation
2024,WR,AGE_DRAFT_INTERACTIONS,85,1.0,1.0,0.9529411764705882,confirmation
2024,TE,AGE_DRAFT_INTERACTIONS,50,1.0,1.0,1.0,confirmation
2025,QB,AGE_DRAFT_INTERACTIONS,36,1.0,1.0,0.9722222222222222,confirmation
2025,RB,AGE_DRAFT_INTERACTIONS,52,1.0,1.0,0.9038461538461539,confirmation
2025,WR,AGE_DRAFT_INTERACTIONS,86,1.0,1.0,0.9883720930232558,confirmation
2025,TE,AGE_DRAFT_INTERACTIONS,57,1.0,1.0,0.9298245614035088,confirmation
2023,QB,SHORT_HISTORY_SCHEME,42,1.0,1.0,1.0,short_history_diagnostic
2023,RB,SHORT_HISTORY_SCHEME,59,0.9830508474576272,0.9830508474576272,0.9830508474576272,short_history_diagnostic
2023,WR,SHORT_HISTORY_SCHEME,77,0.974025974025974,0.974025974025974,0.974025974025974,short_history_diagnostic
2023,TE,SHORT_HISTORY_SCHEME,52,0.9615384615384616,0.9615384615384616,0.9615384615384616,short_history_diagnostic
2024,QB,SHORT_HISTORY_SCHEME,41,0.975609756097561,0.975609756097561,0.975609756097561,short_history_diagnostic
2024,RB,SHORT_HISTORY_SCHEME,59,0.9661016949152542,0.9661016949152542,0.9661016949152542,short_history_diagnostic
2024,WR,SHORT_HISTORY_SCHEME,85,0.9529411764705882,0.9529411764705882,0.9529411764705882,short_history_diagnostic
2024,TE,SHORT_HISTORY_SCHEME,50,1.0,1.0,1.0,short_history_diagnostic
2025,QB,SHORT_HISTORY_SCHEME,36,0.9722222222222222,0.9722222222222222,0.9722222222222222,short_history_diagnostic
2025,RB,SHORT_HISTORY_SCHEME,52,0.9038461538461539,0.9038461538461539,0.9038461538461539,short_history_diagnostic
2025,WR,SHORT_HISTORY_SCHEME,86,0.9883720930232558,0.9883720930232558,0.9883720930232558,short_history_diagnostic
2025,TE,SHORT_HISTORY_SCHEME,57,0.9298245614035088,0.9298245614035088,0.9298245614035088,short_history_diagnostic
